114,1,7,8,PG,65,63,2106,918,321,775,179,206,5500000
115,1,8,0,PF,70,16,1516,527,221,489,40,53,2814000
116,1,21,14,PG,34,0,519,467,148,350,103,128,3000000
116,1,8,12,PG,28,0,659,325,102,229,77,94,3000000
117,1,8,5,SG,82,1,2353,1178,425,983,216,268,3333333
118,1,8,35,PF,67,64,1694,835,349,626,136,222,11235955
119,1,21,6,SG,27,1,572,474,52,149,61,74,3270000
119,1,8,4,SG,54,7,1070,474,169,482,61,74,3135000
120,1,8,8,SF,53,53,1839,1036,287,700,375,432,14000000
121,1,29,11,PG,6,0,35,13,5,12,2,2,99418
121,1,8,11,PG,3,0,7,0,0,1,0,0,100000
122,1,8,14,SG,76,76,2439,932,359,765,109,133,1587480
123,1,30,21,C,15,0,131,69,25,46,19,44,366337
123,1,8,7,C,20,0,131,137,55,9,27,59,5613500
124,1,8,15,C,80,55,1733,796,307,600,154,190,1300000
125,1,8,77,C,59,15,1041,465,195,380,62,69,1709720
126,1,8,3,SF,47,2,373,63,22,62,0,0,1499187
127,1,8,0,PG,68,66,2068,872,329,905,140,209,3102240
128,1,8,1,PG,39,15,1036,299,113,307,30,35,4500000
129,1,8,23,C,32,3,547,263,101,242,61,99,1842000
130,1,8,16,SF,26,6,294,67,24,66,9,14,350000
131,1,24,9,SF,73,40,1160,374,140,317,80,122,845059
131,1,8,9,SF,26,22,469,134,54,115,18,25,285489
132,1,8,6,SF,21,0,305,76,25,70,13,17,123552
133,1,9,50,C,19,0,96,18,6,10,6,8,2500000
134,1,9,12,C,81,1,1233,514,194,384,126,165,6500000
135,1,9,22,PG,58,2,986,254,93,240,16,20,2170465
136,1,9,25,SF,37,0,429,122,43,98,14,15,1252440
137,1,9,5,SG,76,76,2789,1105,403,960,185,228,2891760
138,1,9,8,PG,12,0,159,58,19,54,19,33,845059
139,1,9,0,C,81,81,2666,1314,552,1060,208,586,3272091
140,1,9,32,PF,5,0,35,13,3,10,1,2,99418
141,1,22,12,Pf,49,49,1610,669,251,541,120,153,2380594
141,1,9,34,PF,27,25,903,447,166,348,82,90,16000000
142,1,9,6,SG,38,2,383,152,52,131,29,40,525093
143,1,22,7,PF,22,4,447,767,64,153,32,45,7900000
143,1,9,23,PF,52,52,1434,589,216,508,79,109,7900000
144,1,9,1,PG,79,79,2424,1489,540,1244,291,377,14000000
145,1,22,55,PG,25,6,452,175,59,161,30,40,8344497
145,1,9,7,PG,23,1,416,157,53,143,27,38,8000000
146,1,9,3,SF,73,6,167,593,225,600,80,102,2841960
147,1,9,20,SG,3,,43,22,7,20,4,4,6270000
148,1,9,13,SF,80,80,2856,1131,410,945,203,271,5000000
149,1,9,43,PF,72,5,1341,383,128,332,29,47,3000000
150,1,10,19,SG,68,0,1079,433,171,340,52,62,2500000
151,1,10,40,SF,66,59,2042,774,295,633,102,134,3873398
152,1,10,12,C,70,66,1451,375,175,279,24,50,12000000
153,1,10,21,SG,66,1,578,236,89,202,28,34,947276
154,1,10,30,PG,79,79,2700,2375,805,1598,363,400,11370786
155,1,10,31,C,46,13,770,320,125,228,70,132,2008748
156,1,10,23,PF,81,81,2808,1131,401,819,229,329,14300000
157,1,10,9,SF,65,1,1732,457,176,368,51,83,11710456
158,1,10,34,PG,78,3,1520,448,203,379,80,93,5543725
159,1,10,36,PF,5,0,21,9,4,7,0,0,1131960
160,1,10,20,PF,41,1,262,117,45,84,26,49,845059
