286,Shabazz Muhammad,1992-11-13,California,198,101,University of California Los Angeles,2013-11-01,2
287,Adreian Payne,1991-02-19,Ohio,208,107,Michigan State University,2014-12-26,1
288,Nikola Pekovic,1986-01-03,Montenegro,211,139,,2010-10-27,1
289,Tayshaun Prince,1980-02-28,California,206,96,University of Kentucky,2002-10-30,2
290,Ricky Rubio,1990-10-21,Spain,193,87,,2011-12-26,1
291,Damjan Rudez,1986-06-17,Croatia,208,103,,2014-10-29,1
292,Greg Smith,1991-01-08,California,208,113,California State University Fresno,2012-02-19,1
293,Karl-Anthony Towns,1995-11-15,New Jersey,213,110,University of Kentucky,2015-10-28,1
294,Andrew Wiggins,1995-02-23,Canada,203,90,University of Kansas,2014-10-29,1
295,Alexis Ajinca,1988-05-06,France,218,112,,2008-10-30,1
296,Ryan Anderson,1988-05-06,California,208,108,University of California,2008-10-29,1
297,Omer Asik,1986-07-04,Turkey,213,115,,2010-10-27,1
298,Luke Babbitt,1989-06-20,Ohio,206,102,University of Nevada Reno,2010-11-01,1
299,Norris Cole,1988-10-13,Ohio,188,79,Cleveland State University,2011-12-25,1
300,Dante Cunningham,1987-04-22,Maryland,203,104,Villanova University,2009-11-08,1
301,Anthony Davis,1993-03-11,Illinois,208,114,University of Kentucky,2012-10-31,1
302,Bryce Dejean-Jones,1992-08-21,California,198,94,Iowa State University,2016-01-21,1
303,Toney Douglas,1986-03-16,Georgia,188,88,Florida State University,2009-10-28,1
304,Tyreke Evans,1989-09-19,Pennsylvania,198,99,University of Memphis,2009-10-28,1
305,Tim Frazier,1990-11-01,Texas,185,77,Pennsylvania State University,2015-02-06,1
306,Jimmer Fredette,1989-02-25,New York,188,88,Brigham Young University,2011-12-26,1
307,Alonzo Gee,1987-05-29,Florida,198,102,University of Alabama,2010-03-11,1
308,Eric Gordon,1988-12-25,Indiana,193,97,Indiana University,2008-10-29,1
309,Jordan Hamilton,1990-10-06,California,201,99,University of Texas at Austin,2012-01-25,1
310,Jrue Holiday,1990-06-12,California,193,92,University of California Los Angeles,2009-10-30,1
311,Orlando Johnson,1989-03-11,California,196,99,University of California Santa Barbara,2012-11-05,1
312,Kendrick Perkins,1984-11-10,Texas,208,122,,2003-12-26,1
313,Nate Robinson,1984-05-31,Washington,175,81,University of Washington,2005-11-02,1
314,Ish Smith,1988-07-05,North Carolina,183,79,Wake Forest University,2010-10-26,1
315,Arron Afflalo,1985-10-15,California,196,95,University of California Los Angeles,2007-11-01,1
316,Lou Amundson,1982-12-07,California,206,99,University of Nevada Las Vegas,2007-02-24,1
317,Thanasis Antetokounmpo,1992-07-17,Greece,201,92,,2016-01-29,1
318,Jose Calderon,1981-09-28,Spain,190,90,,2005-11-02,1
319,Cleanthony Early,1991-04-17,New York,203,95,Wichita State University,2014-10-29,1
320,Langston Galloway,1991-12-09,Louisiana,188,90,Saint Joseph's University,2015-01-07,1
321,Jerian Grant,1992-10-09,Maryland,193,88,University of Notre Dame,2015-10-28,1
322,Robin Lopez,1988-04-01,California,213,114,Stanford University,2008-10-29,1
323,Kyle O'Quinn,1990-03-26,New York,208,113,Norfolk State University,2012-11-02,1
324,Kristaps Porzingis,1995-08-02,Latvia,221,108,,2015-10-28,1
325,Kevin Seraphin,1989-12-07,French Guiana,206,129,,2010-11-16,1
326,Lance Thomas,1988-04-24,New York,203,106,Duke University,2011-12-28,1
327,Sasha Vujacic,1984-03-08,Slovenia,201,88,,2004-11-03,1
328,Derrick Williams,1991-05-25,California,203,108,University of Arizona,2011-12-26,1
329,Steven Adams,1993-07-20,Massachusetts,213,115,University of Pittsburgh,2013-10-30,1
330,Nick Collison,1980-10-26,Iowa,208,115,University of Kansas,2004-11-03,1
331,Kevin Durant,1988-09-29,District of Columbia,206,108,University of Texas at Austin,2007-10-31,1
332,Josh Huestis,1991-12-19,Texas,201,104,Stanford University,2015-05-24,1
333,Serge Ibaka,1989-09-18,Republic of the Congo,208,106,,2009-10-30,1
334,Enes Kanter,1992-05-20,Switzerland,211,111,,2011-12-27,1
335,Mitch McGary,1992-06-06,Indiana,208,115,University of Michigan,2014-12-14,2
